symbol,company_name,sector,fiscal_period,report_date,eps,pe,pb,dividend_yield,revenue,revenue_growth_yoy,revenue_growth_qoq,net_profit,net_profit_margin,roe,roa,debt_to_equity,current_ratio,quick_ratio,book_value_per_share,npl_ratio,casa_ratio,source,source_url
DHEL,Daramkhola Hydro Energy Limited,Hydropower,2nd Quarter 2082/2083,2026-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8507.78,0.0,0.0,0.0,0.0,0.3371,0.3371,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/DHEL
DHPL,Dibyashwari Hydropower Company Limited,Hydropower,3rd Quarter 2082/2083,2026-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5784.5,0.0,0.0,0.0,0.0,0.1484,0.1484,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/DHPL
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,3rd Quarter 2082/2083,2026-05-07,18.29,71.63,8.81,0.0,110918.04,0.0,0.0,18255.5,16.4585,12.3,0.97,11.6295,0.0,0.0,148.7,23.62,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/DLBS
DOLTI,Dolti Power Company Ltd,Hydropower,2nd Quarter 2082/2083,2026-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8723.69,0.0,0.0,0.0,0.0,1.069,1.069,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/DOLTI
DORDI,Dordi Khola Hydropower Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7279.18,0.0,0.0,0.0,0.0,4.8373,4.8373,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/DORDI
EBL,Everest Bank Limited,Commercial Bank,3rd Quarter 2082/2083,2026-04-27,32.35,21.58,2.86,0.0,8286110.0,0.0,0.0,3329316.0,40.1795,13.24,1.17,10.2985,0.0,0.0,244.27,0.61,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/EBL
EDBL,Excel Development Bank Limited,Development Bank,3rd Quarter 2082/2083,2026-04-28,16.61,35.43,3.2,0.0,477820.86,0.0,0.0,155717.28,32.5891,9.03,1.03,7.7875,0.0,0.0,184.0,6.59,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/EDBL
EHPL,Eastern Hydropower Limited,Hydropower,2nd Quarter 2082/2083,2026-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30710.82,0.0,0.0,0.0,0.0,2.5592,2.5592,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/EHPL
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,3rd Quarter 2082/2083,2026-05-05,11.27,73.22,6.27,0.0,167869.19,0.0,0.0,113712.97,67.739,8.57,2.62,2.2654,0.0,0.0,131.53,4.36,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/FMDBL
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-04-28,31.98,33.83,4.61,0.0,798812.67,0.0,0.0,191235.42,23.94,13.63,1.67,7.1768,0.0,0.0,234.69,8.92,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/FOWAD
GBBL,Garima Bikas Bank Limited,Development Bank,3rd Quarter 2082/2083,2026-04-28,23.21,17.79,2.46,0.0,3237745.23,0.0,0.0,1048231.02,32.3753,13.85,1.29,9.732,0.0,0.0,167.58,4.77,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GBBL
GBIME,Global IME Bank Limited,Commercial Bank,3rd Quarter 2082/2083,2026-04-28,15.4,15.46,1.33,0.0,14491558.0,0.0,0.0,4401177.0,30.3706,8.62,0.76,10.3872,0.0,0.0,178.53,4.97,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GBIME
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,3rd Quarter 2082/2083,2026-05-07,40.0,19.63,2.66,0.0,1097039.03,0.0,0.0,301588.72,27.4912,13.55,2.47,4.4921,0.0,0.0,295.18,4.94,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GBLBS
GFCL,Goodwill Finance Company Limited,Finance,3rd Quarter 2082/2083,2026-04-28,14.28,45.04,3.1,0.0,345940.31,0.0,0.0,101336.5,29.2931,6.89,0.76,8.1203,0.0,0.0,207.18,80.48,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GFCL
GHL,Ghalemdi Hydro Limited,Hydropower,2nd Quarter 2082/2083,2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17025.3,0.0,0.0,0.0,0.0,25.9133,25.9133,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GHL
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-03-26,32.67,35.6,5.9,0.0,521813.55,0.0,0.0,105905.61,20.2957,16.56,1.95,7.4975,0.0,0.0,197.29,8.96,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GILB
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-04-24,40.22,47.98,12.11,0.0,88269.36,0.0,0.0,26620.45,30.1582,25.25,2.31,9.913,0.0,0.0,159.33,3.13,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GLBSL
GLH,Greenlife Hydropower Limited,Hydropower,1st Quarter 2082/2083,2026-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10823.37,0.0,0.0,0.0,0.0,0.0251,0.0251,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GLH
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-11,-2.36,0.0,7.0442,0.0,102264.1,0.0,0.0,-3569.47,-3.4904,0.0,0.0,8.0769,0.0,0.0,185.26,14.37,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GMFBS
GRDBL,Green Development Bank Limited,Development Bank,3rd Quarter 2082/2083,2026-04-28,7.63,138.85,9.07,0.0,181717.56,0.0,0.0,35240.1,19.3928,6.54,0.69,8.4819,0.0,0.0,116.8,4.32,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GRDBL
GUFL,Gurkhas Finance Limited,Finance,3rd Quarter 2082/2083,2026-04-28,19.89,26.9,3.39,0.0,241900.02,0.0,0.0,129474.71,53.5241,12.6,1.6,6.8533,0.0,0.0,157.88,17.71,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/GUFL
HBL,Himalayan Bank Limited,Commercial Bank,3rd Quarter 2082/2083,2026-04-28,4.5,46.31,1.21,0.0,7495598.51,0.0,0.0,762536.32,10.1731,2.62,0.25,9.4785,0.0,0.0,171.96,7.98,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/HBL
HDHPC,Himal Dolakha Hydropower Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60494.17,0.0,0.0,0.0,0.0,23.0177,23.0177,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/HDHPC
HHL,Himalayan Hydropower Limited,Hydropower,2nd Quarter 2082/2083,2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59045.72,0.0,0.0,0.0,0.0,3.7082,3.7082,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/HHL
HIDCL,Hydroelectricity Investment and Development Company Limited,Hydropower,2nd Quarter 2075/2076,2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567221.44,0.0,0.0,0.0,0.0,49.605,49.605,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/HIDCL
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),Microfinance,3rd Quarter 2082/2083,2026-04-29,31.68,29.19,5.19,0.0,351313.22,0.0,0.0,81053.71,23.0716,17.8,1.88,8.472,0.0,0.0,178.01,10.04,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/HLBSL
HPPL,Himalayan Power Partner Limited,Hydropower,2nd Quarter 2082/2083,2026-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107055.65,0.0,0.0,0.0,0.0,0.8135,0.8135,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/HPPL
ICFC,ICFC Finance Limited,Finance,3rd Quarter 2082/2083,2026-04-28,11.62,55.86,3.68,0.0,527839.32,0.0,0.0,103122.03,19.5366,6.58,0.54,11.2889,0.0,0.0,176.61,2.68,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/ICFC
IHL,Ingwa Hydropower Ltd,Hydropower,3rd Quarter 2082/2083,2026-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11871.12,0.0,0.0,0.0,0.0,0.684,0.684,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/IHL
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-08,24.07,40.72,7.16,0.0,243361.49,0.0,0.0,59866.11,24.5997,17.59,1.99,7.8343,0.0,0.0,136.88,17.85,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/ILBS
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,3rd Quarter 2082/2083,2026-04-28,47.73,26.84,5.02,0.0,1914368.86,0.0,0.0,626927.76,32.7485,18.7,2.56,6.3156,0.0,0.0,255.24,4.8,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/JBLB
JFL,Janaki Finance Company Limited,Finance,3rd Quarter 2082/2083,2026-04-29,-4.21,0.0,0.0,0.0,70249.27,0.0,0.0,-29089.56,-41.4091,0.0,0.0,0.0,0.0,0.0,-6.46,59.12,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/JFL
JOSHI,Joshi Hydropower Development Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21958.56,0.0,0.0,0.0,0.0,0.1569,0.1569,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/JOSHI
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-10,11.8,98.25,6.78,0.0,74528.55,0.0,0.0,10032.59,13.4614,6.9,0.86,7.0061,0.0,0.0,170.87,9.15,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/JSLBB
KBL,Kumari Bank Limited,Commercial Bank,3rd Quarter 2082/2083,2026-04-28,21.24,10.78,1.44,0.0,11574372.92,0.0,0.0,4178048.4,36.0974,13.4,1.17,10.4085,0.0,0.0,158.53,6.94,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/KBL
KBSH,Kutheli Bukhari Small Hydropower Limited,Hydropower,2nd Quarter 2082/2083,2026-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8320.44,0.0,0.0,0.0,0.0,3.9779,3.9779,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/KBSH
KKHC,Khani Khola Hydropower Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6933.36,0.0,0.0,0.0,0.0,8.3293,8.3293,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/KKHC
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-06,26.09,36.53,5.79,0.0,217670.78,0.0,0.0,58499.32,26.8751,15.84,2.18,6.2796,0.0,0.0,164.7,11.42,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/KMCDB
KPCL,Kalika Power Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75060.36,0.0,0.0,0.0,0.0,18.1206,18.1206,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/KPCL
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank,3rd Quarter 2082/2083,2026-04-19,19.24,26.87,3.16,0.0,2065134.67,0.0,0.0,588698.72,28.5066,11.76,1.06,10.093,0.0,0.0,163.57,4.1,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/KSBBL
LBBL,Lumbini Bikas Bank Limited,Development Bank,3rd Quarter 2082/2083,2026-04-28,20.67,24.0,2.42,0.0,1580200.64,0.0,0.0,561683.38,35.5451,10.06,1.13,7.8798,0.0,0.0,205.4,6.49,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/LBBL
LEC,Liberty Energy Company Limited,Hydropower,2nd Quarter 2082/2083,2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8737.42,0.0,0.0,0.0,0.0,5.0396,5.0396,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/LEC
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-11,15.31,60.93,4.97,0.0,254105.11,0.0,0.0,33815.23,13.3076,8.16,0.98,7.2928,0.0,0.0,187.67,13.04,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/LLBS
LSL,Laxmi Sunrise Bank Limited,Commercial Bank,3rd Quarter 2082/2083,2026-04-28,10.15,21.24,1.23,0.0,9613588.0,0.0,0.0,2038184.0,21.2011,5.8,0.55,9.4644,0.0,0.0,175.08,5.29,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/LSL
MABEL,Mabilung Energy Limited,Hydropower,2nd Quarter 2082/2083,2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4504.13,0.0,0.0,0.0,0.0,1.2822,1.2822,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/MABEL
MAKAR,Makar Jitumaya Suri Hydropower Company Limited,Hydropower,3rd Quarter 2082/2083,2026-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87117.47,0.0,0.0,0.0,0.0,29.375,29.375,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/MAKAR
MANDU,Mandu Hydropower Limited,Hydropower,2nd Quarter 2082/2083,2026-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183087.93,0.0,0.0,0.0,0.0,1.3596,1.3596,0.0,,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/MANDU
MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited,Microfinance,2nd Quarter 2082/2083,2026-02-12,11.25,86.66,8.13,0.0,313869.13,0.0,0.0,35349.42,11.2625,9.38,0.55,16.0319,0.0,0.0,119.9,10.48,,SHARESANSAR_QUARTERLY_REPORT,https://www.sharesansar.com/company/MATRI
